R2 U B' R' U
R2 L' D' B' L U2
L' R2 D' B' L U2
R2 U R B' R' U
R2 U R' B' R' U
R2 U R2 B' R' U
R2 U D B' R' U
R2 U D' B' R' U
R2 U D2 B' R' U
R2 U B' R' U D
R2 U B' R' U D'
R2 U B' R' U D2
R2 U B' R' D U
R2 U B' R' D' U
R2 U B' R' D2 U
R2 U B' D R' U
R2 U B' D' R' U
R2 U B' D2 R' U
B2 R2 U' F' L' U'
R2 D U B' R' U
D' U F2 B' R' U
D2 U B' R' U L2
D' U B' R' F2 U
D' U B' F2 R' U
R2 D' U B' R' U
U D' F2 B' R' U
U D' B' R' F2 U
U D' B' F2 R' U
R2 D2 U B' R' U
U D2 B' R' U L2
U B' R' U' R' U2
U B' D' R' F2 U
U B' D' F2 R' U
U B' D2 R' U L2
R2 L U B' U R' F
R2 L U B' U F R'
R2 L U' F' U' F2 R
B2 L R2 U' F' U' F2
R2 L U' F2 U' F' R
B2 L R2 U2 F D R2
B L R2 U B2 U F
B L R2 U2 D' R2 F
B L R2 U2 D' F R2
B L R2 U2 F D' R2
B L R2 D L2 B' U2
B L R2 D' U2 R2 F
B L R2 D' U2 F R2
R2 L U2 R' F D R2
L' R D' R B' L U2
L' R D' B' L R U2
L' R D' B' R L U2
R2 L' U' L2 U' F R
R' L' D' R' B' L U2
L' R' D' R' B' L U2
R L' D' R B' L U2
B L' R2 D L2 U2 F
B L' R2 D B' L2 U2
B L' R2 D' B' U2 R2
B' L' R2 B' U B U
R2 L' D' B' L U2 D
R2 L' D' B' L U2 D'
R2 L' D' B' L U2 D2
R2 L' D' B' L D U2
R2 L' D' B' L D' U2
R2 L' D' B' L D2 U2
R2 L' D' B' D L U2
R2 L' D' B' D' L U2
R2 L' D' B' D2 L U2
R L' D' B' L R U2
B2 L' R2 B' U' F' U'
R L' D' B' R L U2
B L' R2 B' U B' U
D L' D' R2 B' L U2
D2 L' D' B' L U2 L2
D' L' D' B' L U2 L
D L' D' B' L R2 U2
D L' D' B' R2 L U2
R2 L' B' L U B' U
R2 L' B' L' U' F U'
R2 L' B2 D' B U2 R'
L' R2 U' L2 U' F R
L R2 U B' U R' F
L R2 U B' U F R'
L2 R2 U' L' U' F R
R2 L2 U' L' U' F R
L2 R2 U' D F L' U'
R2 L2 U' D F L' U'
L2 R2 U' F L' U' F
R2 L2 U' F L' U' F
L R2 U' F' U' F2 R
L R2 U' F2 U' F' R
L R2 U2 R' F D R2
B' L' B' R2 U' F' U'
B2 L' B' R2 U B2 U
B2 L' B' R2 U2 D' R2
B2 L' B' R2 D L2 U2
B2 L' B' R2 D' U2 R2
B L' B' R2 U B' U
L2 R2 D U' F L' U'
R2 L2 D U' F L' U'
L' R2 D' B' L U2 D
L' R2 D' B' L U2 D'
L' R2 D' B' L U2 D2
L' R2 D' B' L D U2
L' R2 D' B' L D' U2
L' R2 D' B' L D2 U2
L' R2 D' B' D L U2
L' R2 D' B' D' L U2
L' R2 D' B' D2 L U2
L' R2 B' L U B' U
L' R2 B' L' U' F U'
L' R2 B2 D' B U2 R'
R2 U R D B' R' U
R2 U R D' B' R' U
R2 U R D2 B' R' U
R2 U R B' R' U D
R2 U R B' R' U D'
R2 U R B' R' U D2
R2 U R B' R' D U
R2 U R B' R' D' U
R2 U R B' R' D2 U
R2 U R B' D R' U
R2 U R B' D' R' U
R2 U R B' D2 R' U
R2 U R' D B' R' U
R2 U R' D' B' R' U
R2 U R' D2 B' R' U
R2 U R' B' R' U D
R2 U R' B' R' U D'
R2 U R' B' R' U D2
R2 U R' B' R' D U
R2 U R' B' R' D' U
R2 U R' B' R' D2 U
R2 U R' B' D R' U
R2 U R' B' D' R' U
R2 U R' B' D2 R' U
R2 U R2 D B' R' U
R2 U R2 D' B' R' U
R2 U R2 D2 B' R' U
R2 U R2 B' R' U D
R2 U R2 B' R' U D'
R2 U R2 B' R' U D2
R2 U R2 B' R' D U
R2 U R2 B' R' D' U
R2 U R2 B' R' D2 U
R2 U R2 B' D R' U
R2 U R2 B' D' R' U
R2 U R2 B' D2 R' U
R2 U D R B' R' U
R2 U D R' B' R' U
R2 U D R2 B' R' U
R2 U D B' R' U D
R2 U D B' R' U D'
R2 U D B' R' U D2
R2 U D B' R' D U
R2 U D B' R' D' U
R2 U D B' R' D2 U
R2 U D B' D R' U
R2 U D B' D' R' U
R2 U D B' D2 R' U
R2 U D' R B' R' U
R2 U D' R' B' R' U
R2 U D' R2 B' R' U
R2 U D' B' R' U D
R2 U D' B' R' U D'
R2 U D' B' R' U D2
R2 U D' B' R' D U
R2 U D' B' R' D' U
R2 U D' B' R' D2 U
R2 U D' B' D R' U
R2 U D' B' D' R' U
R2 U D' B' D2 R' U
R2 U D2 R B' R' U
R2 U D2 R' B' R' U
R2 U D2 R2 B' R' U
R2 U D2 B' R' U D
R2 U D2 B' R' U D'
R2 U D2 B' R' U D2
R2 U D2 B' R' D U
R2 U D2 B' R' D' U
R2 U D2 B' R' D2 U
R2 U D2 B' D R' U
R2 U D2 B' D' R' U
R2 U D2 B' D2 R' U
D' R U F2 B' R' U
D2 R U B' R' U L2
D' R U B' R' F2 U
R2 U F' B' R' F U
D' R U B' F2 R' U
R2 U F2 B' R' F2 U
R U F2 B' R' U L'
R2 U B R B2 R' U
R2 U B R' B2 R' U
R2 U B R2 B2 R' U
R2 U B' R U D' F2
R2 U B' R D' U F2
R2 U B' R2 D R U
R2 U B' R2 D' R U
R2 U B' R2 D2 R U
R U B' R' U D2 L2
R U B' R' U' R2 U2
R U B' R' D' F2 U
R U B' R' D2 U L2
R2 U B' D R' U D
R2 U B' D R' U D'
R2 U B' D R' U D2
R2 U B' D R' D U
R2 U B' D R' D' U
R2 U B' D R' D2 U
R2 U B' D' R' U D
R2 U B' D' R' U D'
R2 U B' D' R' U D2
R2 U B' D' R' D U
R2 U B' D' R' D' U
R2 U B' D' R' D2 U
R2 U B' D2 R' U D
R2 U B' D2 R' U D'
R2 U B' D2 R' U D2
R2 U B' D2 R' D U
R2 U B' D2 R' D' U
R2 U B' D2 R' D2 U
R2 U B' F' R' F U
R2 U B' F2 R' F2 U
R U B' F2 R' U L'
R2 U' L' F' L' F U'
R2 U' L2 F U2 R U
R2 U' L2 F' L' F2 U'
U R F2 B' R' U L'
U R B' R' U D2 L2
U R B' R' U' R2 U2
U R B' R' D' F2 U
U R B' R' D2 U L2
L2 U' D F L' B2 U'
L2 U' D F B2 L' U'
L2 U' D B2 F L' U'
U R B' F2 R' U L'
R2 U' F U2 R B' U
R2 U' F U2 B' R U
R2 U' F' L2 F L U'
D' R' U F2 B' R' U
D2 R' U B' R' U L2
D' R' U B' R' F2 U
D' R' U B' F2 R' U
R2 U' F2 L2 F L' U'
B R' D' R' U2 R' F'
R2 U2 R' U' B' U F'
R2 U2 R' F' U' B' U
B2 R2 L U' F' U' F2
B2 R2 L U2 F D R2
B R2 L U B2 U F
B R2 L U2 D' R2 F
B R2 L U2 D' F R2
B R2 L U2 F D' R2
B R2 L D L2 B' U2
B R2 L D' U2 R2 F
B R2 L D' U2 F R2
B' R2 L' B' U B U
B R2 L' D L2 U2 F
B R2 L' D B' L2 U2
B2 R2 L' B' U' F' U'
B R2 L' D' B' U2 R2
R2 U2 F U' B' R' U
B R2 L' B' U B' U
B' R2 U R U R' F'
R2 U2 F' U' B' R' U
D' R2 U F2 B' R' U
D2 R2 U B' R' U L2
D' R2 U B' R' F2 U
D' R2 U B' F2 R' U
B' R2 U B' R' U R
B2 R2 U' L F' L' U'
B2 R2 U' L' F' L' U'
B2 R2 U' L2 F' L' U'
B R2 U B' R' B' U
R2 U2 F2 U' B' R' U
B2 R2 U' D F' L' U'
B2 R2 U' D' F' L' U'
B2 R2 U' D2 F' L' U'
