B' R' U' R' F' U2
B' L R' U' R' F' U2
D2 L U' L F R B
B' L' R' U' R' F' U2
B' L2 R' U' R' F' U2
B' R U D' F2 L' B'
B' R D' U F2 L' B'
B' R' L U' R' F' U2
B' R' L' U' R' F' U2
B' R' L2 U' R' F' U2
B' R' U L' B2 L B
B' R' U L2 B2 L B'
B' R' U B' L' B' L
B' R' U B2 L' B' L2
B' R' U' R' D F' U2
B' R' U' R' D' F' U2
B' R' U' R' D2 F' U2
B' R' U' R' F' U2 D
B' R' U' R' F' U2 D'
B' R' U' R' F' U2 D2
B' R' U' R' F' D U2
B' R' U' R' F' D' U2
B' R' U' R' F' D2 U2
B' R' U' D R' F' U2
B' R' U' D' R' F' U2
B' R' U' D2 R' F' U2
B' R' U' F R' F' U2
B' R' U' F' R' F' U2
B' R' U' F2 R' F' U2
B' R' D U' R' F' U2
B' R' D' U' R' F' U2
B' R' D2 U' R' F' U2
B' R' F' L' U' R' U2
U' R2 U B' R' U B
L2 F R U R B U2
B' D' R' F' L' F' U
D2 F' B' L' R' U L'
D' F' B' L' F' R' U
D2 F' B' R' L' U L'
B' D' F' L' F' R' U
B' D' F2 D R' U B
F' D' B' L' R' F2 U
F' D' B' L' F2 R' U
F' D' B' R' L' F2 U
F D' F2 B' L' R' U
F D' F2 B' R' L' U
F D' B' F2 L' R' U
F D' B' F2 R' L' U
B' D2 L' R' U L' B'
D' F2 D B' R' U B
B' D2 R' L' U L' B'
B' D2 R' U L' B' L'
D' F2 D2 B' L R' U
D' F2 D2 B' R' L U
B' D2 R' F' L' U L'
D' F2 B' D R' U B
B' D2 F' L' R' U L'
B' D2 F' R' L' U L'
F' D2 B' L' R' U L'
F' D2 B' R' L' U L'
F2 D2 B' L R' U L
F2 D2 B' R' L U L
B' F R' U D B2 L
B' F R' D U B2 L
D2 B' L' R' U L' B'
B' F D' F2 L' R' U
B' F D' F2 R' L' U
D2 B' R' L' U L' B'
R' B' R' U L' B' L
D2 B' R' U L' B' L'
D2 B' R' F' L' U L'
D' B' R' F' L' F' U
R2 B' R' U' R U2 B
D B' R' U2 B' R' U'
B' F' L' R' U' R' U2
B' F' L' D' R' F2 U
F' B' L' R' U' R' U2
B' F' L' D' F2 R' U
B' F' L' D2 R' U L2
F' B' L' D' R' F2 U
F' B' L' D' F2 R' U
F' B' L' D2 R' U L2
B' F' R' L' U' R' U2
F' B' R' L' U' R' U2
F B' R' U D B2 L
F B' R' D U B2 L
D2 B' F' L' R' U L'
D2 B' F' R' L' U L'
D' B' F' L' F' R' U
D' B' F2 D R' U B
B' F' D' L' R' F2 U
B' F' D' L' F2 R' U
B' F' D' R' L' F2 U
F' B' D' L' R' F2 U
F' B' D' L' F2 R' U
F' B' D' R' L' F2 U
B' F' D2 L' R' U L'
B' F' D2 R' L' U L'
F' B' D2 L' R' U L'
F' B' D2 R' L' U L'
F B' D' F2 L' R' U
F B' D' F2 R' L' U
D B2 U2 B L R' U
D B2 U2 B R' L U
