D2 L2 D F' R B
D2 L2 R D' B R' F'
D L2 D L2 F' R B
D2 L2 D F' R D B
D2 L2 D F' R D' B
D2 L2 D F' R D2 B
D2 L2 D F' R B D
D2 L2 D F' R B D'
D2 L2 D F' R B D2
D2 L2 D F' D R B
D2 L2 D F' D' R B
D2 L2 D F' D2 R B
D2 L2 D F' B R B
D2 L2 D F' B' R B
D2 L2 D F' B2 R B
D2 L2 D B F' R B
D2 L2 D B' F' R B
D2 L2 D B2 F' R B
D L2 D F' L2 R B
D L2 D F' R L2 B
D L2 D F' R B L2
D2 L2 D' R B R' F'
D2 L2 D' F' R B R'
D2 L2 F' R D' B R'
D2 L2 F' D' R B R'
D2 L2 B D F' R B
D2 L2 B' D F' R B
D2 L2 B2 D F' R B
L U F R U' F2 L'
D2 R L2 D' B R' F'
R' U F' R' B L U2
F R F2 L' B D' R2
R' U' F' L' R' B U2
R' U' F' R' L' B U2
R' U' F' R' B L' U2
R2 U2 R2 D' F' R B
L2 D F' R D L2 B
L2 D F' R D B L2
L2 D F' D L2 R B
L2 D F' D R L2 B
L2 D F' D R B L2
L2 D2 L2 D' F' R B
L F R U' F2 L' B
L F R U' F2 B L'
L F R U' B F2 L'
U' F U R F2 L' B
U' F U R F2 B L'
U' F U R B F2 L'
U' F U' R F2 L' B'
D2 F' L2 R D' B R'
D2 F' L2 D' R B R'
D2 F' R L2 D' B R'
F' D2 L2 R D' B R'
B' D2 L2 D F' R B
F' D2 L2 D' R B R'
B2 D2 L2 D F' R B
F' D2 R L2 D' B R'
B D2 L2 D F' R B
D2 B L2 D F' R B
R2 B U B' U R' B
D2 B' L2 D F' R B
D2 B2 L2 D F' R B
