R2 U2 D' F' R' B
R2 U2 F' D' R' B
B R2 U' R U' R2
B R2 U2 R' D B2
R2 D' U2 F' R' B
B L R2 U' R U' R2
B L R2 U2 R' D B2
R2 L U2 D' F' R' B
B' L U R D2 F2 L'
R2 L U2 F' D' R' B
B' L U D2 L2 R F2
B' L U D2 R L2 F2
B' L U D2 R F2 L2
B' L U' R2 B2 L U2
B' L U' B2 R2 U2 R'
R2 L D' U2 F' R' B
B' L D' R2 F2 U R'
B' L D2 U L2 R F2
B' L D2 U R L2 F2
B' L D2 U R F2 L2
R2 L' U2 D' F' R' B
R2 L' U2 F' D' R' B
B L' R2 U' R U' R2
B L' R2 U2 R' D B2
R2 L' D' U2 F' R' B
L' R2 U2 D' F' R' B
F2 L' B R2 U' R U'
L' R2 U2 F' D' R' B
L2 R2 U2 D' F' R' B
R2 L2 U2 D' F' R' B
L R2 U2 D' F' R' B
L2 R2 U2 F' D' R' B
R2 L2 U2 F' D' R' B
L R2 U2 F' D' R' B
L' R2 D' U2 F' R' B
L2 R2 D' U2 F' R' B
R2 L2 D' U2 F' R' B
L R2 D' U2 F' R' B
D2 L2 R2 D F' R' B
B L2 R2 U' R U' R2
D2 L2 R2 F' R' D B2
B L2 R2 U2 R' D B2
B R D R U2 R' B2
B R D B2 D2 F2 L'
B R D' R F2 U2 R'
B' R D2 F2 L' D' B2
R2 U2 D F' D2 R' B
R2 U2 D' F R' F2 B
R2 U2 D' F R' B F2
R2 U2 D' F' R' D B
R2 U2 D' F' R' D' B
R2 U2 D' F' R' D2 B
R2 U2 D' F' R' B D
R2 U2 D' F' R' B D'
R2 U2 D' F' R' B D2
R2 U2 D' F2 R' F B
R2 U2 D' F2 R' B F
B R2 L U' R U' R2
B R2 L U2 R' D B2
R2 U2 D2 F' R' D B2
B R2 L' U' R U' R2
B R2 L' U2 R' D B2
D2 R2 L2 D F' R' B
D2 R2 L2 F' R' D B2
B R2 L2 U' R U' R2
B R2 L2 U2 R' D B2
R2 U2 F' D' R' D B
R2 U2 F' D' R' D' B
R2 U2 F' D' R' D2 B
R2 U2 F' D' R' B D
R2 U2 F' D' R' B D'
R2 U2 F' D' R' B D2
R2 U2 F2 D' R' F B
R2 U2 F2 D' R' B F
R2 U2 F2 D' F R' B
B R2 U' R U' R2 D
B R2 U' R U' R2 D'
B R2 U' R U' R2 D2
B R2 U' R D' F2 U'
B R2 U' R F U' R2
B R2 U' R F' U' R2
B R2 U' R F2 U' R2
B R2 U' D R U' R2
B R2 U' D' R U' R2
B R2 U' D2 R U' R2
U' R2 U2 D' F' R' B
U' R2 U2 F' D' R' B
U2 R2 U2 D' F' R' B
B R2 U2 R' U R2 U'
B R2 U2 R' D B2 D
B R2 U2 R' D B2 D'
B R2 U2 R' D B2 D2
B R2 U2 R' B D B2
B R2 U2 R' B' D B2
B R2 U2 R' B2 D B2
U2 R2 U2 F' D' R' B
B R2 U2 D R' D B2
B R2 U2 D' R' D B2
B R2 U2 D2 R' D B2
F2 R2 D L' F U2 F2
U R2 U2 D' F' R' B
U R2 U2 F' D' R' B
B R2 D U' R U' R2
B R2 D U2 R' D B2
U' R2 D' U2 F' R' B
U2 R2 D' U2 F' R' B
B R2 D' U' R U' R2
B R2 D' U2 R' D B2
R2 D L U2 F' R' B'
