R2 U L B U F'
R2 L U B U F' B'
R2 L U B U B' F'
D' L R2 F2 B U F
D' L R2 B F2 U F
F' L U B R2 U2 B'
F' L U' R2 U2 F' R2
F' L U' B R2 U2 R2
F L D2 B2 U L2 F
R2 L' U L2 B U F'
R2 L' U B L2 U F'
F' L' D2 R2 U' L2 F'
F' L' D2 R2 U' F' L2
L' R2 U L2 B U F'
R2 L2 U L' B U F'
L2 R2 U L' B U F'
L' R2 U B L2 U F'
L2 R2 U B L' U F'
R2 L2 U B L' U F'
L R2 U B U F' B'
L R2 U B U B' F'
R2 U L D B U F'
R2 U L D' B U F'
R2 U L D2 B U F'
R2 U L B U D F'
R2 U L B U D' F'
R2 U L B U D2 F'
R2 U L B U F' D
R2 U L B U F' D'
R2 U L B U F' D2
R2 U L B D U F'
R2 U L B D' U F'
R2 U L B D2 U F'
R2 U L' B L2 U F'
R2 U L2 B L' U F'
R2 U D L B U F'
R2 U D' L B U F'
R2 U D2 L B U F'
L U' R2 U B U F'
L U' B R2 U B U
R2 U2 L B U L' F'
F' R' B2 R' U' L F'
F' R' B2 R' U' F' L
D' R2 L F2 B U F
D' R2 L B F2 U F
U' R2 U L B U F'
U2 R2 U L B U F'
R2 U2 F' U' L B U
L U2 F' U R2 U2 F'
L U2 F' U B R2 U2
U R2 U L B U F'
B R2 U B U2 R' U'
B R2 U B' L B2 U
F' R2 U2 L U L' F'
R2 D U L B U F'
B' R2 B2 U B' L U
F' U R2 U L U F'
R2 D' U L B U F'
L D' R2 F2 B U F
L D' R2 B F2 U F
B U' D2 F' R U' L2
R2 D2 U L B U F'
L D2 R2 B U L2 F'
L D2 R2 B U F' L2
F' U2 L U' R2 U2 F'
F' U2 L U' B R2 U2
L' D2 F' R2 U' L2 F'
L' D2 F' R2 U' F' L2
R2 F U L B U F2
F' D R' B2 R' U' F'
L F D2 B2 U L2 F
D F' R' B2 R' U' F'
F' D B2 L2 R' U' F
F' D B2 R' L2 U' F
F' D B2 R' U B' U2
L F' U B R2 U2 B'
L F' U' R2 U2 F' R2
L F' U' B R2 U2 R2
L' F' D2 R2 U' L2 F'
L' F' D2 R2 U' F' L2
B' D' R2 F2 B L U
B' D' R2 B L F2 U
B' D' R2 B F2 L U
D2 F' B2 R' U' L2 F
D F' B2 L2 R' U' F
D F' B2 R' L2 U' F
D F' B2 R' U B' U2
B D2 U' F' R U' L2
B2 D2 F' R' U' L2 F
L' B R2 U L2 B U
L' B R2 U B L2 U
L2 B R2 U L' B U
L2 B R2 U B L' U
F' D2 B2 R' U' L2 F
L B R2 U B U B'
D B U' F' B R' U'
D B U' B F' R' U'
B2 F' R' U R' B' U2
L B' D' R2 F2 B U
L B' D' R2 B F2 U
B2 F' D2 R' U' L2 F
D B2 L2 F' R' U' F2
F' B2 R' U R' B' U2
D2 B2 F' R' U' L2 F
F' B2 D2 R' U' L2 F
D B2 F' L2 R' U' F
D B2 F' R' L2 U' F
D B2 F' R' U B' U2
