D F L2 B' R' F'
D L F2 U2 L F R
U L B2 R' F' L' U'
D L' F2 R B L U2
B' L2 R F U R2 F'
B' L2 F R U R2 F'
D L2 D2 B' R' F' B'
D L2 D2 B' R' B' F'
B' L2 F R2 U R F'
D L2 B D2 B2 R' F'
D L2 B' R' D2 F' B2
D L2 B' R' D2 B2 F'
D L2 B' D2 R' F' B2
D L2 B' D2 R' B2 F'
B' R L2 F U R2 F'
L U B2 R' F' L' U'
B2 R D2 R2 U' F' R
D R F2 B L U2 L
D R B L F2 U2 L
D R B F2 L U2 L
B' R' U' L2 F U F2
D R' F L2 F2 B' R'
D R' F L2 B' R' F2
D R' F L2 B' F2 R'
B' R' F' U' L2 F U
D' R' F' B' R' B' L
D R' F2 U2 F L2 R
D R' F2 U2 F R L2
D' R' B' F' R' B' L
D' R' B2 L D2 F' R
D' R' B2 D2 L F' R
D' R' B2 D2 F' L R
D' R' B2 D2 F' R L
D' R2 U2 F R F' B2
D' R2 U2 F R B2 F'
D' R2 U2 F B2 R F'
D' R2 U2 B2 F R F'
R' D F L2 F2 B' R'
R' D F L2 B' R' F2
R' D F L2 B' F2 R'
B' U L2 F R U R2
R' D F2 U2 F L2 R
R' D F2 U2 F R L2
R D F2 B L U2 L
R D B L F2 U2 L
R D B F2 L U2 L
R' D' R2 B L U2 B
B' U' L2 F U R' F'
U2 D' R' B2 L F R
R D' B L R2 F' U2
R D' B R2 L F' U2
R D' B R2 F' L U2
R' D' B2 D2 L2 F' R
R' D' B2 D2 F' L2 R
R' D' B2 D2 F' R L2
D' U2 R' B2 L F R
D F L2 R' F' B' R'
D F L2 R' B' F' R'
D F L2 D B' R' F'
D F L2 D' B' R' F'
D F L2 D2 B' R' F'
D F L2 F B' R' F'
D F L2 F' B' R' F'
D F L2 F2 B' R' F'
D F L2 B' R' D F'
D F L2 B' R' D' F'
D F L2 B' R' D2 F'
D F L2 B' R' F' D
D F L2 B' R' F' D'
D F L2 B' R' F' D2
D F L2 B' D R' F'
D F L2 B' D' R' F'
D F L2 B' D2 R' F'
D F L2 B' F R' F'
D F L2 B' F' R' F'
D F L2 B' F2 R' F'
D F R' L2 F' B' R'
D F R' L2 B' F' R'
D F B' L2 R' F' B'
D F B' L2 R' B' F'
D F B' R' L2 F' B'
D F B' R' L2 B' F'
F' D F L2 B' R' F'
F2 D F L2 B' R' F'
F D F L2 B' R' F'
D F2 L U2 L F R
D F2 R B L U2 L
D F2 R' F' L2 B' R'
D F2 U2 L F L R
D F2 U2 L F R L
R' F2 D F L2 B' R'
B2 D2 R2 U' R F' R
B2 D2 R2 U' F' R F'
B' D2 R2 B' U' R F'
D F2 B L U2 L F
B2 D2 R2 F' U' R F'
D F2 B' R' F' L2 B'
D B L F2 U2 L F
D B F2 L U2 L F
R' B' L2 F U R' F2
R' B' L2 F U F2 R'
D B' L2 R' D2 F' B2
D B' L2 R' D2 B2 F'
D B' L2 D2 R' F' B2
D B' L2 D2 R' B2 F'
D' B' R' F' B2 L B
U B' L2 F R B U
D' B' R' B2 L F' B
D' B' R' B2 L B F'
D' B' R' B2 F' L B
D' B' R2 U2 R F' B'
D' B' R2 U2 R B' F'
D' B' R2 U2 B' R F'
D B' R' L2 D2 F' B2
D B' R' L2 D2 B2 F'
D B' R' F L2 F2 B'
D B' R' F L2 B' F2
D2 B' D R' F' B2 L
D2 B' D R' B2 L F'
D2 B' D R' B2 F' L
D' B' D2 R' F' B' L2
D' B' D2 R' B' L2 F'
D' B' D2 R' B' F' L2
D B' D2 R' F' B2 L
D B' D2 R' B2 L F'
D B' D2 R' B2 F' L
D B' F L2 R' F' B'
D B' F L2 R' B' F'
D B' F R' L2 F' B'
D B' F R' L2 B' F'
D B' F2 R' F' L2 B'
L B2 R' U' D2 F' R
L B2 R' D2 U' F' R
D' B2 D2 L2 R' F' R
D' B2 D2 R' L2 F' R
D' B2 D2 R' F' L2 R
D' B2 D2 R' F' R L2
L B2 D2 R' U' F' R
