B' U' F B' U' R
B' U' B' F U' R
B' L U' F U R U2
B2 L F R2 U' F' B
B2 L F R2 U' B F'
B2 L F U F' B U2
B2 L F U B F' U2
B2 L B U' F B' U'
B2 L B U' B' F U'
B L B2 U' F B' U'
B L B2 U' B' F U'
B' L' U D' B' U L
D L' U B' U L' F
B' L' D' U B' U L
U2 L2 R' F D L2 R2
U2 L2 R' F D R2 L2
U L2 D F L2 B' R'
D L2 D' F R2 B R'
D L2 F R2 D' B R'
D L2 F D' R2 B R'
U' L2 F' B2 U' F2 R
U' L2 F2 B2 U' F' R
U' L2 B2 F' U' F2 R
U' L2 B2 F2 U' F' R
B' R U' F B' U' R
B' R U' B' F U' R
U2 R' L2 F D L2 R2
U2 R' L2 F D R2 L2
L U' F B2 U2 R U
L U' F' L' F2 B2 U'
L U' F' L' B2 F2 U'
L U' F' B2 L' F2 U'
B' R' U' F B' U' R
B' R' U' B' F U' R
U2 R' D L2 F D R2
L U' B2 F U2 R U
L U' B2 F' L' F2 U'
U2 R' F D L2 R2 F
U2 R' F D L2 F R2
U2 R' F D R2 L2 F
L U2 R' F' D L2 R2
L U2 R' F' D R2 L2
L2 U2 D F' L2 R F2
L2 U2 D F' R L2 F2
L2 U2 D F' R F2 L2
L2 U2 F2 D L2 F' R
L2 U2 F2 D F' L2 R
L2 U2 F2 D F' R L2
B' R2 U' F B' U' R
B' R2 U' B' F U' R
U' R2 D L2 F R B2
U' R2 D L2 F B2 R
U' R2 D L2 B2 F R
D' R2 B' L U' F U'
D' R2 B' L' U B' U
D' R2 B' U B' U R'
D' R2 B' U' F U' R
L2 D U2 F' L2 R F2
L2 D U2 F' R L2 F2
L2 D U2 F' R F2 L2
U2 D L2 R' F D R2
L2 D F' L2 R F2 B'
L2 D F' L2 R B' F2
L2 D F' L2 B' R F2
L2 D F' R L2 F2 B'
L2 D F' R L2 B' F2
U2 D R' L2 F D R2
F' U D L2 F B' R'
F' U D L2 B' R' F
F' U D L2 B' F R'
U' D F U' L2 R F
U' D F U' R L2 F
L2 D' L2 R2 B' L U2
L2 D' L2 B' L R2 U2
L2 D' L2 B' R2 L U2
B2 U B L U L' U
B' U B U2 B2 U' R'
L2 D' R2 L2 B' L U2
L2 D' R2 B U2 R' F
L2 D' R2 B U2 F R'
L2 D' R2 B2 U2 F R
B' U B2 U2 B U' R'
L2 D' B R2 U2 R F
D U' F U' L2 R F
D U' F U' R L2 F
F' U' D L2 F R B'
F' U' D L2 F B' R
F' U' D L2 B' F R
B' U' D F B' U' R
B' U' D B' F U' R
L2 D' B2 R2 U2 F R
B' U' D' F B' U' R
B' U' D' B' F U' R
B' U' D2 F B' U' R
B' U' D2 B' F U' R
B' U' F D B' U' R
B' U' F D' B' U' R
B' U' F D2 B' U' R
B' U' F B' U' R D
B' U' F B' U' R D'
B' U' F B' U' R D2
B' U' F B' U' D R
B' U' F B' U' D' R
B' U' F B' U' D2 R
B' U' F B' D U' R
B' U' F B' D' U' R
B' U' F B' D2 U' R
B' U' F' B' U L' U2
D U2 L2 R' F D R2
B' U' B' U2 B' U R'
B' U' B' D F U' R
B' U' B' D' F U' R
B' U' B' D2 F U' R
B' U' B' F U' R D
B' U' B' F U' R D'
B' U' B' F U' R D2
B' U' B' F U' D R
B' U' B' F U' D' R
B' U' B' F U' D2 R
B' U' B' F D U' R
B' U' B' F D' U' R
B' U' B' F D2 U' R
B' U' B' F' U L' U2
D U2 R' L2 F D R2
B' U2 R' U F' B' U'
B' U2 R' U B' F' U'
U' F L2 B2 U' R F
U' F U' R D L2 F
U' F U' D L2 R F
U' F U' D R L2 F
U' F D U' L2 R F
U' F D U' R L2 F
F2 D R2 U' L2 F R
F' D U L2 F B' R'
F' D U L2 B' R' F
