F2 L D L2 F2 B
F2 L D L2 B F2
F2 L D F2 L2 B
F2 L D F2 B L2
F2 L D B L2 F2
F2 L D B F2 L2
R U R' D L2 B
R U R' D B L2
D L2 B U' R U
D R U L2 R' B
D R U R' L2 B
D R U R' B L2
D2 R F2 U R' B
F2 U L' B2 U' B'
R' D' R F2 L' B
R' D' R F2 B L'
R' D' R B F2 L'
B U B U2 R U
B U' R2 F' R' U
D B L2 U' R U
D2 B U' R F2 U
D B U' R U L2
F2 B U L' B U'
F2 B U B L' U'
R2 B2 L U' R2 B
B F2 U L' B U'
B F2 U B L' U'
U B2 U2 R U B'
D L R U L R' B
L' R U R' D L2 B
L' R U R' D B L2
D L R U R' L B
L2 R U R' D L2 B
L2 R U R' D B L2
L R U R' D L2 B
L R U R' D B L2
R L U R' D L2 B
R L U R' D B L2
D2 L R F2 U R' B
F2 L U L2 B2 U' B'
B L U B U2 R U
B L U' R2 F' R' U
R' L D' R F2 L' B
R' L D' R F2 B L'
R' L D' R B F2 L'
F2 L D L F2 L B
F2 L D L' B L' F2
F2 L D L2 F2 D B
F2 L D L2 F2 D' B
F2 L D L2 F2 D2 B
F2 L D L2 F2 B D
F2 L D L2 F2 B D'
F2 L D L2 F2 B D2
F2 L D L2 B F2 D
F2 L D L2 B F2 D'
F2 L D L2 B F2 D2
F2 L D F' L2 F' B
F2 L D F' L2 B F'
F2 L D F' B L2 F'
F2 L D F2 L' B L'
F2 L D F2 L2 D B
F2 L D F2 L2 D' B
F2 L D F2 L2 D2 B
F2 L D F2 L2 B D
F2 L D F2 L2 B D'
F2 L D F2 L2 B D2
F2 L D F2 B L2 D
F2 L D F2 B L2 D'
F2 L D F2 B L2 D2
F2 L D F2 B' L2 B2
F2 L D B L F2 L
F2 L D B L2 F2 D
F2 L D B L2 F2 D'
F2 L D B L2 F2 D2
F2 L D B F' L2 F'
F2 L D B F2 L2 D
F2 L D B F2 L2 D'
F2 L D B F2 L2 D2
F2 L D B' L2 F2 B2
F2 L D B' L2 B2 F2
F2 L D B' F2 L2 B2
F2 L D2 B D' L2 F2
F2 L D2 B D' F2 L2
F2 L F D L2 F2 B
F2 L F D L2 B F2
F2 L F D F2 L2 B
F2 L F D F2 B L2
F2 L F D B L2 F2
F2 L F D B F2 L2
F2 L F' D L2 F2 B
F2 L F' D L2 B F2
F2 L F' D F2 L2 B
F2 L F' D F2 B L2
F2 L F' D B L2 F2
F2 L F' D B F2 L2
D L F2 L D F2 B
D L F2 L D B F2
D L F2 L B D F2
R2 L B2 L U' R2 B
B L F2 U L' B U'
B L F2 U B L' U'
F2 L F2 D L2 F2 B
F2 L F2 D L2 B F2
F2 L F2 D F2 L2 B
F2 L F2 D F2 B L2
F2 L F2 D B L2 F2
F2 L F2 D B F2 L2
D2 L B U' R F2 U
F2 L B U L2 B U'
F2 L B U B L2 U'
R L' U R' D L2 B
R L' U R' D B L2
U L B2 U2 R U B'
D L' R U L' R' B
D L' R U R' L' B
D L' R U R' B L'
D2 L' R F2 U R' B
R' L' D' R F2 L' B
R' L' D' R F2 B L'
R' L' D' R B F2 L'
L' R' D' R F2 L' B
L' R' D' R F2 B L'
L' R' D' R B F2 L'
L R' D' R F2 L' B
L R' D' R F2 B L'
L R' D' R B F2 L'
L2 R' D' R F2 L' B
L2 R' D' R F2 B L'
L2 R' D' R B F2 L'
F2 L' R2 B2 U' R2 B
B L' U B U2 R U
B L' U' R2 F' R' U
F2 L' D L2 D F2 B
F2 L' D L2 D B F2
F2 L' D L2 B D F2
F2 L' D B L2 D F2
R2 L' B2 L U' R2 B
R L2 U R' D L2 B
R L2 U R' D B L2
B L' F2 U L' B U'
B L' F2 U B L' U'
D L' B L' U' R U
D2 L' B U' R F2 U
D L' B U' R U L'
R' L2 D' R F2 L' B
R' L2 D' R F2 B L'
R' L2 D' R B F2 L'
F2 L' B2 R U' R' B'
F2 L' B2 R' U' R B'
F2 L' B2 R' U' B' R
F2 L' B2 R2 U' R2 B'
F2 L' B2 R2 U' B' R2
U L' B2 U2 R U B'
B' L2 R F U R' B2
D2 L2 R F2 U R' B
D L2 R' D' R F2 B
D L2 R' D' R B F2
F2 L2 U L B2 U' B'
B L2 U B U2 R U
B' L2 U' R F U B2
B L2 U' R2 F' R' U
L' R2 B2 L U' R2 B
L2 R2 B2 L U' R2 B
R2 L2 B2 L U' R2 B
L R2 B2 L U' R2 B
D L2 D B U' R U
R U L R' D L2 B
R U L R' D B L2
D L2 D' B U' R U
R U L' R' D L2 B
D L2 D2 B U' R U
R U L' R' D B L2
R U L2 R' D L2 B
R U L2 R' D B L2
D L2 F2 U L' U' B
B L2 F2 U L' B U'
B L2 F2 U B L' U'
R U R' L D L2 B
R U R' L D B L2
D L2 F2 B U L' U'
R U R' L' D L2 B
R U R' L' D B L2
R U R' L2 D L2 B
R U R' L2 D B L2
D2 L2 B U' R F2 U
R U R' U B2 U' B'
R U R' D L' B L'
R U R' D L2 D B
R U R' D L2 D' B
R U R' D L2 D2 B
R U R' D L2 B D
R U R' D L2 B D'
R U R' D L2 B D2
R U R' D B L2 D
R U R' D B L2 D'
R U R' D B L2 D2
R U R' D B' L2 B2
D L2 B R' D' R F2
R U R' D' B D2 L2
R U R' D2 B D' L2
D L2 B U' R U D
D L2 B U' R U D'
D L2 B U' R U D2
D L2 B U' R D U
D L2 B U' R D' U
D L2 B U' R D2 U
D L2 B U' D R U
D L2 B U' D' R U
D L2 B U' D2 R U
R U R' B U B U'
D L2 B D U' R U
D L2 B D' U' R U
D L2 B D2 U' R U
D L2 B F2 U L' U'
R U R2 D L2 R B
R U R2 D R L2 B
R U R2 D R B L2
D L2 B' U' R U B2
R U D L2 D' R' B
B' L2 B2 U' R F U
D L2 B2 U' R U B'
U L2 B2 U2 R U B'
D R L U L R' B
D R L U R' L B
D2 R L F2 U R' B
D R L' U L' R' B
D R L' U R' L' B
D R L' U R' B L'
D2 R L' F2 U R' B
B' R L2 F U R' B2
D2 R L2 F2 U R' B
D2 R U R' D' L2 B
D2 R U R' D' B L2
D2 R U R' B D' L2
D' R U R' D2 L2 B
D' R U R' D2 B L2
D' R U R' B D2 L2
D R U L' R' B L'
D R U L2 R' D B
D R U L2 R' D' B
D R U L2 R' D2 B
D R U L2 R' B D
D R U L2 R' B D'
D R U L2 R' B D2
D R U R' L' B L'
D R U R' L2 D B
D R U R' L2 D' B
D R U R' L2 D2 B
D R U R' L2 B D
D R U R' L2 B D'
D R U R' L2 B D2
D R U R' B L2 D
D R U R' B L2 D'
D R U R' B L2 D2
D R U R' B' L2 B2
D' R U' R U2 R2 B
D' R U' R F' U2 R2
B2 R U' R B' R2 F'
D R U' R' B L2 F
U' R U2 R' B2 U' B'
U' R U2 B2 R' U' B
