R2 B2 L U' B' R'
L R U2 F' B2 U' B
R L U2 F' B2 U' B
L R U2 B2 F' U' B
R L U2 B2 F' U' B
F2 L D B' L2 F2 R
R' L B R2 F' U B2
L R' B R2 F' U B2
D2 R F2 L2 U B' R'
D2 R' D' L2 F2 B R'
D2 R' D' L2 B R' F2
D2 R' D' L2 B F2 R'
D2 R' D' F2 L2 B R'
D2 R' D' F2 B L2 R'
D2 R' D' F2 B R' L2
D2 R' D' B L2 R' F2
D2 R' D' B L2 F2 R'
D2 R' D' B R' L2 F2
D2 R' D' B R' F2 L2
D2 R' D' B F2 L2 R'
D2 R' D' B F2 R' L2
R U2 D F' R U' L2
R2 U2 B2 L F U' B'
R U2 B2 D F' R U'
U' R2 B2 L U' B' R'
U2 R2 B2 L U' B' R'
U R2 B2 L U' B' R'
R D U2 F' R U' L2
R2 F B2 L U' B' R'
R F' R B2 L U' B'
R2 F' B2 L U' B' R'
R' B L R2 F' U B'
R2 F2 B2 L U' B' R'
R' B R2 L F' U B'
R' B R2 F' L U B'
R2 B2 L R' F' U' B'
R2 B2 L U' R B' R'
R2 B2 L U' R' B' R'
R2 B2 L U' R2 B' R'
R2 B2 L U' D B' R'
R2 B2 L U' D' B' R'
R2 B2 L U' D2 B' R'
R2 B2 L U' B' R' D
R2 B2 L U' B' R' D'
R2 B2 L U' B' R' D2
R2 B2 L U' B' D R'
R2 B2 L U' B' D' R'
R2 B2 L U' B' D2 R'
R2 B2 L D U' B' R'
R2 B2 L D' U' B' R'
R2 B2 L D2 U' B' R'
R2 B2 L F U' B' R'
R2 B2 L F' U' B' R'
R2 B2 L F2 U' B' R'
R2 B2 R' L F' U' B'
R2 B2 R' F' L U' B'
R2 B2 F L U' B' R'
R2 B2 F' L U' B' R'
R2 B2 F2 L U' B' R'
