L' D F2 B' L2
L' D B' L2 F2
L' D B' F2 L2
U L B' R' B' U'
F' L' D F2 B' L2
F' L' D B' L2 F2
F' L' D B' F2 L2
F2 L' D F2 B' L2
F2 L' D B' L2 F2
F2 L' D B' F2 L2
D L' D B' L' F2
F L' D F2 B' L2
F L' D B' L2 F2
F L' D B' F2 L2
D2 L' D' B' L2 F
D L' B' D L' F2
L' U B2 L2 U' B
L D L2 D F2 B'
L D L2 D B' F2
L D L2 B' D F2
L' D F' B' L2 F'
L' D F2 B L2 B2
L' D F2 B' L2 D
L' D F2 B' L2 D'
L' D F2 B' L2 D2
L' D F2 B2 L2 B
L' D B L2 F2 B2
L' D B L2 B2 F2
L' D B F2 L2 B2
L' D B' L F2 L
L' D B' L2 F2 D
L' D B' L2 F2 D'
L' D B' L2 F2 D2
L' D B' F' L2 F'
L' D B' F2 L2 D
L' D B' F2 L2 D'
L' D B' F2 L2 D2
L' D B2 L2 F2 B
L' D B2 L2 B F2
L' D B2 F2 L2 B
B' U B' R' U' F'
L' D' B' D2 L2 F
L' D2 B' D' L2 F2
L' D2 B' D' F2 L2
L' F D F2 B' L2
L' F D B' L2 F2
L' F D B' F2 L2
L' F' D F2 B' L2
L' F' D B' L2 F2
L' F' D B' F2 L2
L' F2 D F2 B' L2
L' F2 D B' L2 F2
L' F2 D B' F2 L2
L' B' U B' L2 U'
U L R B' R' B' U'
R' L U' R D L2 B'
R' L U' D L2 R B'
R' L U' D L2 B' R
R' L U' D R L2 B'
L R U' R' D L2 B'
R2 L U' R2 D L2 B'
L R U' D L2 R' B'
L R U' D R' L2 B'
R L U' R' D L2 B'
R L U' D L2 R' B'
R L U' D R' L2 B'
U L R' B' R' B' U'
U L R2 B' R' B' U'
L' R D R' F2 B' L2
L' R D R' B' L2 F2
L' R D R' B' F2 L2
R' L D U' L2 R B'
R' L D U' L2 B' R
R' L D U' R L2 B'
L R D U' L2 R' B'
L R D U' R' L2 B'
L' R D F2 R' B' L2
R L D U' L2 R' B'
R L D U' R' L2 B'
U L U' L D L2 B'
U L U' L' D B' L2
U L U' D L' B' L'
F' L D L2 D F2 B'
F' L D L2 D B' F2
F' L D L2 B' D F2
F2 L D L2 D F2 B'
F2 L D L2 D B' F2
F2 L D L2 B' D F2
F L D L2 D F2 B'
F L D L2 D B' F2
F L D L2 B' D F2
U L D U' L' B' L'
U L D B' R' U' L2
D2 L D' L2 D F2 B'
D2 L D' L2 D B' F2
D2 L D' L2 B' D F2
D' L D2 L2 D F2 B'
D' L D2 L2 D B' F2
D' L D2 L2 B' D F2
R2 L F2 B2 U' R2 B
L R B2 U F L U2
R2 L B2 U F U2 R2
R L B2 U F L U2
R2 L B2 F2 U' R2 B
U L B' R B' R2 U'
