L B2 U' B R'
U' L F B2 U' B
R' L B2 U' B R'
R2 L B2 U' B R'
L R B2 U' B R'
R L B2 U' B R'
F' L B2 U' B R'
F2 L B2 U' B R'
F L B2 U' B R'
U' L B2 F U' B
L R' B2 U' B R'
L R2 B2 U' B R'
L' D L2 F2 B' R'
L' D L2 B' R' F2
L' D L2 B' F2 R'
L F B2 U' B R'
L F' B2 U' B R'
L F2 B2 U' B R'
L B2 U' B R' D
L B2 U' B R' D'
L B2 U' B R' D2
L B2 U' B D R'
L B2 U' B D' R'
L B2 U' B D2 R'
L B2 F U' B R'
L B2 F' U' B R'
L B2 F2 U' B R'
U' L R F B2 U' B
F' L R B2 U' B R'
U' L R B2 F U' B
F2 L R B2 U' B R'
F L R B2 U' B R'
U' L R' F B2 U' B
F' L R' B2 U' B R'
U L R' F' B2 U' B
U' L R' B2 F U' B
F2 L R' B2 U' B R'
F L R' B2 U' B R'
U L R' B2 F' U' B
U' L R2 F B2 U' B
F' L R2 B2 U' B R'
U' L R2 B2 F U' B
F2 L R2 B2 U' B R'
F L R2 B2 U' B R'
L' R D L2 F2 B' R'
L' R D L2 B' R' F2
L' R D L2 B' F2 R'
U L U' D B' L2 R'
U L U' D B' R' L2
U' L D F U' B' L2
U L D U' B' L2 R'
U L D U' B' R' L2
R' L F B2 U' B R'
R2 L F B2 U' B R'
L R F B2 U' B R'
R L F B2 U' B R'
R' L F' B2 U' B R'
R2 L F' B2 U' B R'
L R F' B2 U' B R'
R L F' B2 U' B R'
R' L F2 B2 U' B R'
U' L F R B2 U' B
U' L F R' B2 U' B
U' L F R2 B2 U' B
R2 L F2 B2 U' B R'
L R F2 B2 U' B R'
U' L F U' D B' L2
R L F2 B2 U' B R'
U' L F D U' B' L2
F' L F B2 U' B R'
U2 L F B2 U' B R
U' L F B2 U' D B
U' L F B2 U' D' B
U' L F B2 U' D2 B
F2 L F B2 U' B R'
U' L F B2 U' B D
U' L F B2 U' B D'
U' L F B2 U' B D2
U' L F B2 D U' B
U' L F B2 D' U' B
U' L F B2 D2 U' B
F L F B2 U' B R'
F' L F' B2 U' B R'
F2 L F' B2 U' B R'
F L F' B2 U' B R'
R' L B2 U' B R' D
R' L B2 U' B R' D'
R' L B2 U' B R' D2
R' L B2 U' B D R'
R' L B2 U' B D' R'
R' L B2 U' B D2 R'
F' L F2 B2 U' B R'
F2 L F2 B2 U' B R'
L R B2 U' B R' D
L R B2 U' B R' D'
L R B2 U' B R' D2
L R B2 U' B D R'
L R B2 U' B D' R'
L R B2 U' B D2 R'
R2 L B2 U' B R' D
R2 L B2 U' B R' D'
R2 L B2 U' B R' D2
R2 L B2 U' B D R'
R2 L B2 U' B D' R'
R2 L B2 U' B D2 R'
F L F2 B2 U' B R'
R L B2 U' B R' D
R L B2 U' B R' D'
R L B2 U' B R' D2
R L B2 U' B D R'
R L B2 U' B D' R'
R L B2 U' B D2 R'
R' L B2 F U' B R'
R' L B2 F' U' B R'
R' L B2 F2 U' B R'
L R B2 F U' B R'
R2 L B2 F U' B R'
R2 L B2 F' U' B R'
L R B2 F' U' B R'
R L B2 F U' B R'
R2 L B2 F2 U' B R'
L R B2 F2 U' B R'
R L B2 F' U' B R'
R L B2 F2 U' B R'
F' L B2 U' B R' D
F' L B2 U' B R' D'
F' L B2 U' B R' D2
F' L B2 U' B D R'
F' L B2 U' B D' R'
F' L B2 U' B D2 R'
F2 L B2 U' B R' D
F2 L B2 U' B R' D'
F2 L B2 U' B R' D2
F2 L B2 U' B D R'
F2 L B2 U' B D' R'
F2 L B2 U' B D2 R'
F L B2 U' B R' D
F L B2 U' B R' D'
F L B2 U' B R' D2
F L B2 U' B D R'
F L B2 U' B D' R'
F L B2 U' B D2 R'
U' L B2 D F U' B
U' L B2 D' F U' B
F' L B2 F U' B R'
U L B2 U' B' R' B2
U' L B2 D2 F U' B
F' L B2 F' U' B R'
U' L B2 F U' D B
U' L B2 F U' D' B
F2 L B2 F U' B R'
U' L B2 F U' D2 B
U' L B2 F U' B D
U' L B2 F U' B D'
U' L B2 F U' B D2
U' L B2 F D U' B
F' L B2 F2 U' B R'
U' L B2 F D' U' B
U' L B2 F D2 U' B
U2 L B2 F U' B R
F2 L B2 F' U' B R'
F2 L B2 F2 U' B R'
F L B2 F U' B R'
F L B2 F' U' B R'
F L B2 F2 U' B R'
R' L' D L2 F2 B' R'
R' L' D L2 B' R' F2
R' L' D L2 B' F2 R'
L' R' D L2 F2 B' R'
L' R' D L2 B' R' F2
L' R' D L2 B' F2 R'
R2 L' D L2 F2 B' R'
R2 L' D L2 B' R' F2
R2 L' D L2 B' F2 R'
R L' D L2 F2 B' R'
R L' D L2 B' R' F2
R L' D L2 B' F2 R'
L R' F B2 U' B R'
L R' F' B2 U' B R'
F' L' D L2 F2 B' R'
F' L' D L2 B' R' F2
F' L' D L2 B' F2 R'
F2 L' D L2 F2 B' R'
F2 L' D L2 B' R' F2
F2 L' D L2 B' F2 R'
F L' D L2 F2 B' R'
F L' D L2 B' R' F2
F L' D L2 B' F2 R'
L R' F2 B2 U' B R'
L R' B2 U' B R' D
L R' B2 U' B R' D'
L R' B2 U' B R' D2
L R' B2 U' B D R'
L R' B2 U' B D' R'
L R' B2 U' B D2 R'
L R' B2 F U' B R'
L R' B2 F' U' B R'
L R' B2 F2 U' B R'
L' R2 D L2 F2 B' R'
L' R2 D L2 B' R' F2
L' R2 D L2 B' F2 R'
U L' B2 L2 U' B' R'
L R2 F B2 U' B R'
L R2 F' B2 U' B R'
L R2 F2 B2 U' B R'
L R2 B2 U' B R' D
L R2 B2 U' B R' D'
L R2 B2 U' B R' D2
L R2 B2 U' B D R'
L R2 B2 U' B D' R'
L R2 B2 U' B D2 R'
L R2 B2 F U' B R'
L R2 B2 F' U' B R'
L R2 B2 F2 U' B R'
U' L2 B2 L' F U' B'
U L2 B2 L' U' B' R'
U' R L F B2 U' B
F' R L B2 U' B R'
U' R L B2 F U' B
F2 R L B2 U' B R'
F R L B2 U' B R'
L' U B2 L2 U' B' R'
R' U' L F B2 U' B
R' U' L B2 F U' B
R2 U' L F B2 U' B
R U' L F B2 U' B
R2 U' L B2 F U' B
R U' L B2 F U' B
U' R' L F B2 U' B
U' R' L B2 F U' B
F' R' L B2 U' B R'
F2 R' L B2 U' B R'
U R' L F' B2 U' B
F R' L B2 U' B R'
U R' L B2 F' U' B
L U' B' U B' U' R'
U R' F' L B2 U' B
U' R2 L F B2 U' B
F' R2 L B2 U' B R'
U' R2 L B2 F U' B
F2 R2 L B2 U' B R'
F R2 L B2 U' B R'
L' D L F2 L B' R'
L' D L2 R F2 B' R'
L' D L2 R B' R' F2
L' D L2 R B' F2 R'
L' D L2 R' F2 B' R'
L' D L2 R' B' R' F2
L' D L2 R' B' F2 R'
L' D L2 R2 F2 B' R'
L' D L2 R2 B' R' F2
L' D L2 R2 B' F2 R'
L' D L2 F B' R' F
L' D L2 F2 R B' R'
L' D L2 F2 R' B' R'
L' D L2 F2 R2 B' R'
L' D L2 F2 D B' R'
L' D L2 F2 D' B' R'
L' D L2 F2 D2 B' R'
L' D L2 F2 B' R' D
L' D L2 F2 B' R' D'
L' D L2 F2 B' R' D2
L' D L2 F2 B' D R'
L' D L2 F2 B' D' R'
L' D L2 F2 B' D2 R'
L' D L2 B' R F2 R2
L' D L2 B' R' F2 D
L' D L2 B' R' F2 D'
L' D L2 B' R' F2 D2
L' D L2 B' F R' F
L' D L2 B' F2 R' D
L' D L2 B' F2 R' D'
L' D L2 B' F2 R' D2
L' D L2 B' F2 D R'
L' D L2 B' F2 D' R'
L' D L2 B' F2 D2 R'
L' D R L2 F2 B' R'
L' D R L2 B' R' F2
L' D R L2 B' F2 R'
L' D R' L2 F2 B' R'
L' D R' L2 B' R' F2
L' D R' L2 B' F2 R'
L' D R2 L2 F2 B' R'
L' D R2 L2 B' R' F2
L' D R2 L2 B' F2 R'
L' D F U2 F L2 R
L' D F U2 F R L2
L' D B L2 F2 R B'
L' D B L2 F2 B' R
L' D B L2 B' F2 R
L' D B' L2 R' F2 B'
L' D B' L2 R' B' F2
L' D B' L2 F2 R' B'
L' D B' R' L2 F2 B'
L' D B' R' L2 B' F2
L D B U' B2 L2 R'
L D B U' B2 R' L2
L D B' L2 R' D F2
L D B' L2 D R' F2
L D B' L2 D F2 R'
L D B' R' L2 D F2
L D B2 U' L2 B R'
L D B2 U' B L2 R'
L D B2 U' B R' L2
F' U' L F B2 U' B
F2 U' L F B2 U' B
F' U' L B2 F U' B
F2 U' L B2 F U' B
F U' L F B2 U' B
F U' L B2 F U' B
U' F L F B2 U' B
U' F L B2 F U' B
R' F L B2 U' B R'
U2 F L B2 U' B R
R2 F L B2 U' B R'
R F L B2 U' B R'
L F R B2 U' B R'
L F R' B2 U' B R'
L F R2 B2 U' B R'
U' F' L F B2 U' B
U' F' L B2 F U' B
R' F' L B2 U' B R'
L F B2 U' B R' D
L F B2 U' B R' D'
L F B2 U' B R' D2
L F B2 U' B D R'
L F B2 U' B D' R'
L F B2 U' B D2 R'
R2 F' L B2 U' B R'
R F' L B2 U' B R'
L F' R B2 U' B R'
L F' R' B2 U' B R'
L F' R2 B2 U' B R'
U' F2 L F B2 U' B
U' F2 L B2 F U' B
R' F2 L B2 U' B R'
L F' B2 U' B R' D
L F' B2 U' B R' D'
L F' B2 U' B R' D2
L F' B2 U' B D R'
L F' B2 U' B D' R'
L F' B2 U' B D2 R'
R2 F2 L B2 U' B R'
R F2 L B2 U' B R'
L F2 R B2 U' B R'
L F2 R' B2 U' B R'
