D' L R2 B' U2 B2
D' L F' R2 B' U2
D' L F' B' R2 U2
D' L B' R2 U2 B
D' L B' F' R2 U2
D' R2 L B' U2 B2
D' F' L R2 B' U2
D' F' L B' R2 U2
D' F' R2 L B' U2
D' L R B' R U2 B
F' L R' D B2 U2 L2
F' L R' D' R2 U2 F2
F' L R2 U' B2 L U'
D' L R2 U2 B D2 F2
D L R2 U2 L F B
D L R2 U2 L B F
D' L R2 D B' U2 B2
D' L R2 D' B' U2 B2
D' L R2 D2 B' U2 B2
D' L R2 F B' U2 B2
D' L R2 F' B' U2 B2
D' L R2 F2 B' U2 B2
D' L R2 B' U2 B2 D
D' L R2 B' U2 B2 D'
D' L R2 B' U2 B2 D2
D' L R2 B' D2 F2 U2
D' L R2 B' F U2 B2
D' L R2 B' F' U2 B2
D' L R2 B' F2 U2 B2
F' L U R U D L2
F' L U R U2 B2 U'
F' L U R D U L2
F' L U R D2 F2 U
F' L U D R U L2
F' L U D2 R F2 U
F' L U' B2 U2 R U
F' L D U R U L2
F' L D' R2 U R' U
F' L D2 U R F2 U
D' L D2 F' U2 L2 F
D' L D2 F' B' U2 L2
D' L D2 B' F' U2 L2
D' L F R2 F2 B' U2
D' L F R2 B' F2 U2
D' L F B' R2 F2 U2
D' L F' R B' R U2
D L F' R U2 L F'
D L F' R U2 F' L
D' L F' R2 D B' U2
D' L F' R2 D' B' U2
D' L F' R2 D2 B' U2
D' L F' R2 B' U2 D
D' L F' R2 B' U2 D'
D' L F' R2 B' U2 D2
D' L F' R2 B' D U2
D' L F' R2 B' D' U2
D' L F' R2 B' D2 U2
D L F' R2 U2 L F
D' L F' U2 D2 L2 F
D' L F' D2 U2 L2 F
D' L F' D2 B' U2 L2
D' L F' B R2 B2 U2
D' L F' B' R2 U2 D
D' L F' B' R2 U2 D'
D' L F' B' R2 U2 D2
D' L F' B' R2 D U2
D' L F' B' R2 D' U2
D' L F' B' R2 D2 U2
D' L F' B' U2 D2 L2
D' L F' B' D2 U2 L2
D' L F' B2 R2 U2 F'
D L F' B2 R' B U2
D' L F2 R2 F B' U2
D' L F2 R2 B' F U2
F L F2 U' L2 B2 U'
F L F2 U' B2 L2 U'
F L F2 U2 D L2 F2
F L F2 U2 D F2 L2
F L F2 D U2 L2 F2
F L F2 D U2 F2 L2
D' L F2 B' R2 F U2
F L F2 D' R2 B2 U2
F L F2 D' B2 R2 U2
D' L B R2 B2 U2 B'
D' L B F' R2 B2 U2
D' L B' R2 U2 D B
D' L B' R2 U2 D' B
D' L B' R2 U2 D2 B
D' L B' R2 U2 B D
D' L B' R2 U2 B D'
D' L B' R2 U2 B D2
D' L B' R2 D U2 B
D' L B' R2 D' U2 B
D' L B' R2 D2 U2 B
D' L B' R2 F U2 B
D' L B' R2 F' U2 B
D' L B' R2 F2 U2 B
D' L B' D2 F' U2 L2
D' L B' F R2 F2 U2
D' L B' F' R2 U2 D
D' L B' F' R2 U2 D'
D' L B' F' R2 U2 D2
D' L B' F' R2 D U2
D' L B' F' R2 D' U2
D' L B' F' R2 D2 U2
D' L B' F' U2 D2 L2
D' L B' F' D2 U2 L2
D' L B' F2 R2 F U2
D' L B2 R2 U2 F' B
D' L B2 R2 U2 B F'
D' L B2 F' R2 U2 F'
D L B2 F' R' B U2
F L' D R2 F2 U' L2
F L' D F2 R2 U' L2
D L' D2 L' R2 F B
D L' D2 L' R2 B F
D' L' D2 R2 F L2 B
D' L' D2 R2 F B L2
D' L' D2 R2 B F L2
D L' D2 R2 L' F B
D L' D2 R2 L' B F
D L' D2 R2 B L' F
D' L' F D2 L2 R2 B2
D' L' F D2 L2 B2 R2
D' L' F D2 R2 L2 B2
D' L' F D2 R2 B2 L2
D' L' F D2 B2 L2 R2
D' L' F D2 B2 R2 L2
D' L' F' L2 R2 U2 F2
D' L' F' R2 L2 U2 F2
F L' B2 U L2 F2 U2
F L' B2 U F2 L2 U2
F L' B2 U' D2 R2 B2
F L' B2 U' D2 B2 R2
F L' B2 D R2 F2 U'
F L' B2 D F2 R2 U'
F L' B2 D2 U' R2 B2
F L' B2 D2 U' B2 R2
D L2 R F2 R F B
D L2 R F2 R B F
D L2 F2 R F' D2 B2
D' R L B' R U2 B
D R L2 F2 R F B
D R L2 F2 R B F
F' R U2 B2 U' R' B2
D R F L2 F2 R B
F' R' L D B2 U2 L2
F' R' L D' R2 U2 F2
F' R' D L B2 R' U2
F' R' D B2 U2 L2 R'
F' R' D B2 U2 R' L2
F' R' D' L R2 U2 F2
F' R' D' R2 L U2 F2
D R' B2 L2 R' F B
D R' B2 L2 R' B F
D R' B2 L2 F R' B
D R' B2 R' L2 F B
D R' B2 R' L2 B F
D' R2 L U2 B D2 F2
F' R2 L U' B2 L U'
D' R2 L D B' U2 B2
D' R2 L D' B' U2 B2
D' R2 L D2 B' U2 B2
D' R2 L F B' U2 B2
D' R2 L F' B' U2 B2
D' R2 L F2 B' U2 B2
D' R2 L B' U2 B2 D
D' R2 L B' U2 B2 D'
D' R2 L B' U2 B2 D2
D' R2 L B' D2 F2 U2
D' R2 L B' F U2 B2
D' R2 L B' F' U2 B2
D' R2 L B' F2 U2 B2
D R2 L U2 L F B
D R2 L U2 L B F
B2 R2 U' D B R F'
F' R2 U' B2 L U' R'
B2 R2 U' B D R F'
B2 R2 D U' B R F'
D' R2 F L B' U2 B2
D' R2 F' L B' U2 B2
R2 D L2 F2 B R F'
D' R2 F2 L B' U2 B2
R2 D L2 B F2 R F'
R D L2 F2 R F' B
R D L2 F2 R B F'
D' U L R2 B' U2 B2
D R2 B2 R' F' B' L2
D R2 B2 R' B' L2 F'
D R2 B2 R' B' F' L2
D' U L F' R2 B' U2
D' U L F' B' R2 U2
D' U L B' R2 U2 B
D' U L B' F' R2 U2
F' U R U2 B2 U' R'
L D F' R U2 L2 F'
L D F' R U2 F' L2
L D F' R' B U2 L2
L2 D F2 L2 R F' B'
L2 D F2 L2 R B' F'
L2 D F2 L2 B' R F'
L2 D F2 R L2 F' B'
L2 D F2 R L2 B' F'
D' U R2 L B' U2 B2
D' U F' L R2 B' U2
D' U F' L B' R2 U2
D' U F' R2 L B' U2
R2 D' L R2 F' B' U2
R2 D' L R2 B' F' U2
R2 D' L B' R2 U2 B2
L2 D' L' R2 U2 F B
L2 D' L' R2 U2 B F
L2 D' L' F' R2 U2 F2
B2 U F' U R U R2
B2 U F' U2 R' D' F2
D' U' L R2 B' U2 B2
U' D' L R2 B' U2 B2
D' U' L F' R2 B' U2
U' D' L F' R2 B' U2
D' U' L F' B' R2 U2
U' D' L F' B' R2 U2
L2 D' R2 L' U2 F B
L2 D' R2 L' U2 B F
U2 D' L R2 B' U2 B2
R2 D' R2 L F' B' U2
D' U' L B' R2 U2 B
U' D' L B' R2 U2 B
R2 D' R2 L B' F' U2
D' U' L B' F' R2 U2
U' D' L B' F' R2 U2
U2 D' L F' R2 B' U2
U2 D' L F' B' R2 U2
R2 D' R2 F' L B' U2
U2 D' L B' R2 U2 B
U2 D' L B' F' R2 U2
U D' L R2 B' U2 B2
U D' L F' R2 B' U2
U D' L F' B' R2 U2
U D' L B' R2 U2 B
U D' L B' F' R2 U2
U' D' R2 L B' U2 B2
D' U' R2 L B' U2 B2
U2 D' R2 L B' U2 B2
U D' R2 L B' U2 B2
U' D' F' L R2 B' U2
D' U' F' L R2 B' U2
U' D' F' L B' R2 U2
D' U' F' L B' R2 U2
U' D' F' R2 L B' U2
D' U' F' R2 L B' U2
U2 D' F' L R2 B' U2
U2 D' F' L B' R2 U2
U2 D' F' R2 L B' U2
B2 U' R2 D B R F'
U D' F' L R2 B' U2
U D' F' L B' R2 U2
B2 U' R2 B D R F'
U D' F' R2 L B' U2
D' U2 L R2 B' U2 B2
D' U2 L F' R2 B' U2
D' U2 L F' B' R2 U2
D' U2 L B' R2 U2 B
D' U2 L B' F' R2 U2
F' U' F' B2 U' R' F'
F' U' F2 B2 L' U' R'
F' U' B2 U' R' D' F2
F' U' B2 U2 R U R2
D' U2 R2 L B' U2 B2
F' U' B2 F' U' R' F'
F' U' B2 F2 L' U' R'
D' U2 F' L R2 B' U2
D' U2 F' L B' R2 U2
D' U2 F' R2 L B' U2
D' F L R2 F2 B' U2
D' F L R2 B' F2 U2
D' F L F2 R2 B' U2
D' F L F2 B' R2 U2
D' F L B' R2 F2 U2
D' F L B' F2 R2 U2
D' F R2 L F2 B' U2
D' F R2 L B' F2 U2
D' F R2 F2 L B' U2
F' D L U R U L
R' F B2 L' U' R' B
D' F' L R B' R U2
D' F' L R2 D B' U2
D' F' L R2 D' B' U2
D' F' L R2 D2 B' U2
D' F' L R2 B' U2 D
D' F' L R2 B' U2 D'
D' F' L R2 B' U2 D2
D' F' L R2 B' D U2
D' F' L R2 B' D' U2
D' F' L R2 B' D2 U2
D' F' L U2 D2 L2 F
D' F' L D2 U2 L2 F
D' F' L D2 B' U2 L2
D' F' L B R2 B2 U2
D' F' L B' R2 U2 D
D' F' L B' R2 U2 D'
D' F' L B' R2 U2 D2
D' F' L B' R2 D U2
D' F' L B' R2 D' U2
D' F' L B' R2 D2 U2
D' F' L B' U2 D2 L2
D' F' L B' D2 U2 L2
D' F' L B2 R2 U2 F'
D F' L R U2 L F'
D F' L R U2 F' L
D F' L R2 U2 L F
D F' L B2 R' B U2
D' F' R L B' R U2
D F' R L U2 L F'
D F' R L U2 F' L
D' F' R2 L D B' U2
D' F' R2 L D' B' U2
D' F' R2 L D2 B' U2
D' F' R2 L B' U2 D
D' F' R2 L B' U2 D'
D' F' R2 L B' U2 D2
D' F' R2 L B' D U2
D' F' R2 L B' D' U2
D' F' R2 L B' D2 U2
D F' R2 L U2 L F
L F' R' D B2 U2 L2
L F' R' D' R2 U2 F2
L F' R2 U' B2 L U'
F' D' L R2 U R' U
L F' U R U D L2
L F' U R U2 B2 U'
L F' U R D U L2
L F' U R D2 F2 U
L F' U D R U L2
L F' U D2 R F2 U
D F' U2 L2 F2 R F'
L F' U' B2 U2 R U
L F' D U R U L2
L F' D' R2 U R' U
D F' D2 L R2 B' U2
D F' D2 L B' R2 U2
F' D' R2 L U R' U
D F' D2 R2 L B' U2
L F' D2 U R F2 U
D F2 L2 F2 R F' B'
D F2 L2 F2 R B' F'
D F2 L2 F2 B' R F'
D F2 L2 B' F2 R F'
D' F2 R2 F L B' U2
F' D2 L U R F2 U
R' F2 B2 U' R' F' B
R' F2 B2 U' R' B F'
R2 F2 B2 U' R' F' B'
R2 F2 B2 U' R' B' F'
D B L2 R2 B R' F'
F D2 F2 R U B2 R'
D B R2 L2 B R' F'
D B R2 B L2 R' F'
D B R2 B R' L2 F'
D B R2 B R' F' L2
B2 F L' U F2 U2 R'
B2 F L' U' R' D2 B2
B2 F L' U' D2 R' B2
B2 F L' D R2 U' R
B2 F L' D2 U' R' B2
B2 F D L' R2 U' R
B2 F D R2 L' U' R
B2 F D2 L' U' R' B2
B2 F2 L2 U' R' F' B'
B2 F2 L2 U' R' B' F'
F2 B2 L2 U' R' F' B'
F2 B2 L2 U' R' B' F'
F B2 L' U F2 U2 R'
F B2 L' U' R' D2 B2
F B2 L' U' D2 R' B2
F B2 L' D R2 U' R
F B2 L' D2 U' R' B2
B2 F2 U F U2 R' F'
F2 B2 U F U2 R' F'
B2 F2 U' R' F' D2 B2
F2 B2 U' R' F' D2 B2
R' B2 F L' U' R' B
F B2 D L' R2 U' R
F B2 D R2 L' U' R
R' B2 F2 U' R' F' B
R' B2 F2 U' R' B F'
R2 B2 F2 U' R' F' B'
R2 B2 F2 U' R' B' F'
F B2 D2 L' U' R' B2
